SEQENCE ID                     TM SP PREDICTION
PF3D7_0315400.1-p1              1  0 o6-25i
PF3D7_0315900.1-p1              1  0 o6-23i
PF3D7_0316200.1-p1              7  0 i246-264o270-294i966-984o1014-1038i1306-1326o1900-1918i2037-2055o
PF3D7_0317900.1-p1              1  0 o445-465i
PF3D7_0318000.1-p1              0  Y n4-14c19/20o
PF3D7_0318300.1-p1              1  0 o6-27i
PF3D7_0318500.1-p1             17  0 i627-643o655-672i721-743o1046-1066i1133-1155o1167-1187i1199-1217o1223-1240i1534-1552o1564-1581i2161-2178o2527-2546i2743-2763o2783-2801i3448-3468o3885-3902i3935-3953o
PF3D7_0318700.1-p1              0  0 i
PF3D7_0319800.1-p1              0  0 i
PF3D7_0319900.1-p1              0  0 i
PF3D7_0320600.1-p1              0  0 i
PF3D7_0321000.1-p1              1  0 i7-25o
PF3D7_0321100.1-p1              1  0 o1171-1195i
PF3D7_0321300.1-p1              2  0 i305-324o890-914i
PF3D7_0321700.1-p1              0  0 i
PF3D7_0322200.1-p1              0  0 i
PF3D7_0322600.1-p1              3  0 o856-875i1229-1248o1282-1300i
PF3D7_0322700.1-p1             13  0 o936-959i1035-1055o1571-1594i1615-1631o1706-1723i1930-1950o2344-2362i2445-2461o2467-2485i2945-2964o2970-2989i3001-3021o3077-3095i
PF3D7_0322800.1-p1              0  0 i
PF3D7_0323100.1-p1              3  0 o602-620i856-876o1521-1540i
PF3D7_0323200.1-p1              1  Y n16-27c35/36o328-348i
PF3D7_0323300.1-p1              0  0 i
PF3D7_0323800.1-p1              0  0 i
PF3D7_0403300.1-p1              1  0 o6-24i
PF3D7_0403600.1-p1              0  0 i
PF3D7_0404000.1-p1              0  0 i
PF3D7_0404200.1-p1              0  0 i
PF3D7_0405500.1-p1              0  0 i
PF3D7_0405800.1-p1              0  0 i
PF3D7_0406000.1-p1              0  0 i
PF3D7_0406600.1-p1              0  0 i
PF3D7_0406900.1-p1              0  0 i
PF3D7_0407000.1-p1              1  0 o365-386i
PF3D7_0407400.1-p1              0  0 i
PF3D7_0407600.1-p1              0  0 i
PF3D7_0408000.1-p1              0  0 i
PF3D7_0408100.1-p1              1  0 i259-276o
PF3D7_0408200.1-p1              0  0 i
PF3D7_0408400.1-p1              0  0 i
PF3D7_0408800.1-p1              2  0 o6-28i215-240o
PF3D7_0409000.1-p1              0  0 i
PF3D7_0410500.1-p1              0  0 i
PF3D7_0411700.1-p1              1  0 o6-26i
PF3D7_0411800.1-p1              2  0 o1325-1342i1417-1437o
PF3D7_0412200.1-p1              1  0 i153-174o
PF3D7_0414400.1-p1              0  0 i
PF3D7_0414800.1-p1              0  0 i
PF3D7_0415200.1-p1              0  0 i
PF3D7_0415700.1-p1              0  Y n10-20c24/25o
PF3D7_0416900.1-p1              0  0 i
PF3D7_0417000.1-p1              0  Y n3-13c18/19o
PF3D7_0417400.1-p1             10  0 o251-268i275-291o999-1014i1026-1047o1505-1522i1585-1603o2124-2141i2548-2568o5505-5525i6405-6421o
PF3D7_0417600.1-p1              0  0 i
PF3D7_0417700.1-p1              0  0 i
PF3D7_0417900.1-p1              1  0 o388-406i
PF3D7_0418000.1-p1              8  0 o662-681i748-766o2258-2276i2646-2667o2687-2703i2715-2735o3217-3236i3703-3725o
PF3D7_0418300.1-p1              0  0 i
PF3D7_0418900.1-p1              0  0 i
PF3D7_0419100.1-p1              0  Y n14-24c28/29o
PF3D7_0419300.1-p1              0  0 i
PF3D7_0419400.1-p1              1  Y n8-20c25/26o2419-2442i
PF3D7_0420500.1-p1              0  0 i
PF3D7_0421700.1-p1              3  0 o1550-1568i1758-1778o1784-1802i
PF3D7_0421800.1-p1              0  0 i
PF3D7_0421900.1-p1              1  0 o6-24i
PF3D7_0422600.1-p1              0  0 i
PF3D7_0423000.1-p1              0  0 i
PF3D7_0423300.1-p1              1  0 i21-37o
PF3D7_0423600.1-p1              1  0 i475-495o
PF3D7_0502300.1-p1              0  0 i
PF3D7_0502500.1-p1              2  Y n9-19c24/25o529-548i568-589o
PF3D7_0502600.1-p1              0  0 i
PF3D7_0502700.1-p1              0  0 i
PF3D7_0503900.1-p1              1  0 o16-35i
PF3D7_0504300.1-p1              0  0 i
PF3D7_0504800.1-p1              4  0 o2577-2594i2840-2858o3661-3681i4851-4872o
PF3D7_0505400.1-p1              0  Y n3-10c15/16o
PF3D7_0506000.1-p1              2  0 o17-36i158-176o
PF3D7_0506300.1-p1              0  0 i
PF3D7_0506400.1-p1              0  Y n10-25c31/32o
PF3D7_0506500.1-p1              0  0 i
PF3D7_0507000.1-p1              0  0 i
PF3D7_0507800.1-p1              0  0 i
PF3D7_0507900.1-p1              2  0 i37-55o61-80i
PF3D7_0508600.1-p1              0  0 i
PF3D7_0509300.1-p1              0  0 i
PF3D7_0509700.1-p1              1  0 i154-173o
PF3D7_0510000.1-p1              0  0 i
PF3D7_0510700.1-p1              0  0 i
PF3D7_0511100.1-p1              0  Y n4-15c19/20o
PF3D7_0511400.1-p1              1  Y n7-18c24/25o329-349i
PF3D7_0511900.1-p1              2  0 i626-647o659-677i
PF3D7_0512100.1-p1              0  0 i
PF3D7_0512400.1-p1              0  0 i
PF3D7_0512500.1-p1              0  0 i
PF3D7_0512800.1-p1              3  0 o1008-1027i1353-1373o1451-1469i
PF3D7_0513000.1-p1              0  Y n3-14c19/20o
PF3D7_0513100.1-p1              0  0 i
PF3D7_0513900.1-p1              1  0 i142-163o
PF3D7_0514200.1-p1              3  0 i7-35o393-410i846-864o
PF3D7_0514900.1-p1              0  0 i
PF3D7_0515200.1-p1              1  0 o119-137i
PF3D7_0515400.1-p1              0  0 i
PF3D7_0517100.1-p1              2  0 i162-179o199-218i
PF3D7_0518900.1-p1              0  0 i
PF3D7_0519900.1-p1              3  0 o6-26i394-411o431-450i
PF3D7_0520800.1-p1              0  0 i
PF3D7_0521000.1-p1              0  0 i
PF3D7_0521100.1-p1              4  0 o257-273i285-308o822-839i1119-1142o
PF3D7_0521200.1-p1              0  0 i
PF3D7_0521400.1-p1              0  Y n7-15c20/21o
PF3D7_0521600.1-p1              0  0 i
PF3D7_0521900.1-p1              0  0 i
PF3D7_0522000.1-p1              0  0 i
PF3D7_0522100.1-p1              0  0 i
PF3D7_0522400.1-p1              6  0 o697-714i726-742o2014-2033i2172-2192o3186-3206i4663-4681o
PF3D7_0523600.1-p1              0  0 i
PF3D7_0524100.1-p1              0  0 i
PF3D7_0524500.1-p1              0  0 i
PF3D7_0525300.1-p1              1  0 i91-113o
PF3D7_0525700.1-p1              0  Y n6-14c19/20o
PF3D7_0526400.1-p1              2  0 o63-88i139-156o
PF3D7_0526600.1-p1              1  0 i227-245o
PF3D7_0526700.1-p1              2  0 i5-24o758-780i
PF3D7_0526800.1-p1              0  0 i
PF3D7_0527400.1-p1              2  0 i99-120o132-156i
PF3D7_0527600.1-p1              0  0 i
PF3D7_0528300.1-p1              0  0 i
PF3D7_0528600.1-p1              0  0 i
PF3D7_0528900.1-p1              0  Y n2-13c18/19o
PF3D7_0529800.1-p1              1  0 i199-215o
PF3D7_0530000.1-p1              0  0 i
PF3D7_0530400.1-p1              2  0 o783-804i910-929o
PF3D7_0530700.1-p1              0  0 i
PF3D7_0531100.1-p1              0  0 i
PF3D7_0531300.1-p1              0  0 i
PF3D7_0601900.1-p1              1  0 o37-55i
PF3D7_0602700.1-p1              0  0 i
PF3D7_0602900.1-p1              0  0 i
PF3D7_0603900.1-p1              0  0 i
PF3D7_0604000.1-p1              2  0 o1420-1442i1449-1467o
PF3D7_0604300.1-p1              0  0 i
PF3D7_0604400.1-p1              1  0 o6-24i
PF3D7_0604900.1-p1              0  Y n22-33c37/38o
PF3D7_0605700.1-p1              0  0 i
PF3D7_0606300.1-p1              0  0 i
PF3D7_0606400.1-p1              0  0 i
PF3D7_0607700.1-p1              0  0 i
PF3D7_0607900.1-p1              1  0 i582-600o
PF3D7_0608100.1-p1              0  Y n5-13c18/19o
PF3D7_0608200.1-p1              0  0 i
PF3D7_0608600.1-p1              0  0 i
PF3D7_0608900.1-p1              1  0 o949-969i
PF3D7_0609300.1-p1              0  0 i
PF3D7_0609500.1-p1              1  Y n3-12c17/18o783-800i
PF3D7_0609600.1-p1              3  0 i100-123o946-963i1057-1076o
PF3D7_0610700.1-p1              0  0 i
PF3D7_0611800.1-p1              0  0 i
PF3D7_0612000.1-p1              1  0 o28-47i
PF3D7_0612500.1-p1              0  0 i
PF3D7_0613000.1-p1              0  0 i
PF3D7_0613000.2-p1              0  0 i
PF3D7_0613000.3-p1              0  0 i
PF3D7_0613100.1-p1              2  0 i7-25o37-57i
PF3D7_0613200.1-p1              1  0 i7-29o
PF3D7_0613600.1-p1              1  0 i12-31o
PF3D7_0614600.1-p1              1  0 i574-590o
PF3D7_0615000.1-p1              0  0 i
PF3D7_0615200.1-p1              0  0 i
PF3D7_0616100.1-p1              0  0 i
PF3D7_0616300.1-p1              0  0 i
PF3D7_0616400.1-p1              5  Y n3-13c18/19o561-577i685-705o1196-1214i1443-1464o1470-1493i
PF3D7_0616900.1-p1              0  0 i
PF3D7_0618100.1-p1              0  0 i
PF3D7_0618200.1-p1              0  0 i
PF3D7_0619100.1-p1              1  0 o6-23i
PF3D7_0619200.1-p1              0  0 i
PF3D7_0619300.1-p1              5  0 o1800-1819i1899-1918o3228-3254i3480-3500o3506-3524i
PF3D7_0619600.1-p1              2  0 o530-552i664-682o
PF3D7_0620200.1-p1              1  0 i21-41o
PF3D7_0620300.1-p1              0  0 i
PF3D7_0620600.1-p1              0  0 i
PF3D7_0622000.1-p1              2  Y n6-17c21/22o104-125i187-207o
PF3D7_0622100.1-p1              0  0 i
PF3D7_0622400.1-p1              0  0 i
PF3D7_0624100.1-p1              0  0 i
PF3D7_0624400.1-p1              0  Y n4-15c19/20o
PF3D7_0624800.1-p1              1  Y n7-17c22/23o604-623i
PF3D7_0625200.1-p1              0  0 i
PF3D7_0625400.1-p1              0  Y n3-14c22/23o
PF3D7_0625700.1-p1              0  0 i
PF3D7_0625800.1-p1              0  0 i
PF3D7_0625900.1-p1              0  0 i
PF3D7_0626000.1-p1              3  0 o471-492i504-522o1642-1660i
PF3D7_0626200.1-p1              0  0 i
PF3D7_0626600.1-p1              0  0 i
PF3D7_0627000.1-p1              0  0 i
PF3D7_0627600.1-p1              0  0 i
PF3D7_0628500.1-p1              0  0 i
PF3D7_0628700.1-p1              0  0 i
PF3D7_0630400.1-p1              1  Y n9-20c27/28o345-366i
PF3D7_0703000.1-p1              4  0 o327-345i914-931o1249-1266i1583-1607o
PF3D7_0703200.1-p1              1  0 o973-990i
PF3D7_0703300.1-p1              0  0 i
PF3D7_0703400.1-p1              1  0 i186-207o
PF3D7_0703600.1-p1              0  0 i
PF3D7_0703700.1-p1              0  0 i
PF3D7_0703800.1-p1              0  0 i
PF3D7_0705100.1-p1              0  0 i
PF3D7_0705200.1-p1              0  0 i
PF3D7_0706200.1-p1              0  0 i
PF3D7_0706500.1-p1              0  0 i
PF3D7_0706600.1-p1              3  0 o330-349i435-453o503-522i
PF3D7_0707200.1-p1              5  0 i854-873o885-902i923-940o1244-1263i1449-1465o
PF3D7_0707500.1-p1              2  0 o1018-1034i1108-1129o
PF3D7_0708200.1-p1              1  0 i43-60o
PF3D7_0710100.1-p1              1  0 i147-165o
PF3D7_0710200.1-p1              0  0 i
PF3D7_0710300.1-p1              5  Y n3-16c20/21o30-47i68-86o98-123i144-162o168-197i
PF3D7_0710500.1-p1              1  0 i7-24o
PF3D7_0710700.1-p1              0  0 i
PF3D7_0711100.1-p1              4  0 i105-122o128-146i166-197o209-228i
PF3D7_0711200.1-p1              0  0 i
PF3D7_0711300.1-p1              0  0 i
PF3D7_0713500.1-p1              3  0 o266-284i339-359o453-469i
PF3D7_0713700.1-p1              1  Y n5-16c21/22o168-190i
PF3D7_0713900.1-p1              0  0 i
PF3D7_0714200.1-p1              0  0 i
PF3D7_0714600.1-p1              0  0 i
PF3D7_0715200.1-p1              0  Y n7-18c23/24o
PF3D7_0715700.1-p1              0  0 i
PF3D7_0716300.1-p1              0  Y n3-14c19/20o
PF3D7_0716500.1-p1              0  0 i
PF3D7_0716700.1-p1              1  0 o736-758i
PF3D7_0717200.1-p1              0  0 i
PF3D7_0717800.1-p1              0  0 i
PF3D7_0718600.1-p1              0  0 i
PF3D7_0718800.1-p1              2  0 i48-67o73-102i
PF3D7_0718900.1-p1              2  0 i45-66o72-99i
PF3D7_0719400.1-p1              1  0 i12-31o
PF3D7_0719800.1-p1              1  0 i12-31o
PF3D7_0720200.1-p1              0  0 i
PF3D7_0720300.1-p1              0  0 i
PF3D7_0720500.1-p1              2  0 i44-61o73-90i
PF3D7_0720600.1-p1              0  0 i
PF3D7_0721100.1-p1              0  Y n4-16c24/25o
PF3D7_0721200.1-p1              0  0 i
PF3D7_0721800.1-p1              0  0 i
PF3D7_0722000.1-p1              0  0 i
PF3D7_0722800.1-p1              1  Y n5-15c22/23o345-364i
PF3D7_0722900.1-p1              0  0 i
PF3D7_0723200.1-p1              0  Y n6-16c22/23o
PF3D7_0723300.1-p1              0  0 i
PF3D7_0723400.1-p1              0  0 i
PF3D7_0724100.1-p1              0  0 i
PF3D7_0724500.1-p1              0  0 i
PF3D7_0725400.1-p1              0  Y n7-16c21/22o
PF3D7_0726050.1-p1              1  Y n6-16c28/29o60-82i
PF3D7_0726600.1-p1              0  0 i
PF3D7_0726700.1-p1              0  Y n3-13c19/20o
PF3D7_0727100.1-p1              0  Y n4-14c18/19o
PF3D7_0727600.1-p1              2  0 o366-388i604-624o
PF3D7_0727700.1-p1              1  0 o855-879i
PF3D7_0727900.1-p1              2  0 o574-593i832-852o
PF3D7_0728300.1-p1              0  0 i
PF3D7_0728800.1-p1              0  Y n3-14c19/20o
PF3D7_0730000.1-p1              1  0 i35-54o
PF3D7_0730500.1-p1              0  0 i
PF3D7_0801400.1-p1              0  0 i
PF3D7_0801600.1-p1              2  0 i58-75o95-115i
PF3D7_0802700.1-p1              0  0 i
PF3D7_0802900.1-p1              0  0 i
PF3D7_0804700.1-p1              0  0 i
PF3D7_0805100.1-p1              0  0 i
PF3D7_0805500.1-p1              0  0 i
PF3D7_0805900.1-p1              0  0 i
PF3D7_0806100.1-p1              0  0 i
PF3D7_0806900.1-p1              1  0 i9-34o
PF3D7_0807600.1-p1              1  0 i206-222o
PF3D7_0808000.1-p1              1  0 o1078-1099i
PF3D7_0809400.1-p1              0  0 i
PF3D7_0809800.1-p1              4  0 o651-670i691-707o719-738i750-773o
PF3D7_0810700.1-p1              2  0 o44-63i75-95o
PF3D7_0810900.1-p1              0  0 i
PF3D7_0810900.2-p1              0  0 i
PF3D7_0811400.1-p1              0  0 i
PF3D7_0811700.1-p1              1  0 o509-530i
PF3D7_0811800.1-p1              2  0 i169-186o206-223i
PF3D7_0812000.1-p1              0  0 i
PF3D7_0812900.1-p1             12  0 i118-142o195-219i278-298o920-949i970-992o1012-1032i1044-1060o1080-1103i1130-1149o1155-1171i1192-1217o1223-1245i
PF3D7_0813100.1-p1              0  0 i
PF3D7_0813400.1-p1              0  0 i
PF3D7_0814100.1-p1              0  0 i
PF3D7_0814500.1-p1              0  0 i
PF3D7_0814700.1-p1              0  0 i
PF3D7_0815500.1-p1              1  0 i126-148o
PF3D7_0817200.1-p1              1  0 i208-230o
PF3D7_0817300.1-p1              0  0 i
PF3D7_0817600.1-p1              0  0 i
PF3D7_0819300.1-p1              0  0 i
PF3D7_0819500.1-p1              1  0 o359-383i
PF3D7_0819700.1-p1              2  0 o14-37i719-736o
PF3D7_0820300.1-p1              2  0 i12-30o42-67i
PF3D7_0820400.1-p1              2  0 i139-157o266-289i
PF3D7_0820600.1-p1              6  0 o6-25i124-146o152-171i183-202o208-226i424-443o
PF3D7_0820800.1-p1              0  Y n3-18c23/24o
PF3D7_0820900.1-p1              4  0 o428-447i1068-1085o1091-1109i1529-1551o
PF3D7_0821000.1-p1              2  0 i393-411o450-468i
PF3D7_0821200.1-p1              0  0 i
PF3D7_0821400.1-p1              0  0 i
PF3D7_0822400.1-p1              0  0 i
PF3D7_0824000.1-p1              0  0 i
PF3D7_0824200.1-p1              0  0 i
PF3D7_0824500.1-p1              0  0 i
PF3D7_0824900.1-p1              0  0 i
PF3D7_0825000.1-p1              0  0 i
PF3D7_0825900.1-p1              0  0 i
PF3D7_0826000.1-p1              0  0 i
PF3D7_0826900.1-p1              0  0 i
PF3D7_0827200.1-p1              0  0 i
PF3D7_0827300.1-p1              0  0 i
PF3D7_0827400.1-p1              0  Y n6-17c24/25o
PF3D7_0827600.1-p1              0  Y n3-14c19/20o
PF3D7_0828100.1-p1              4  0 o496-523i867-883o889-906i956-978o
PF3D7_0828300.1-p1              0  0 i
PF3D7_0828900.1-p1              0  0 i
PF3D7_0829500.1-p1              4  0 o1003-1020i1087-1105o1189-1212i1261-1280o
PF3D7_0903000.1-p1              1  0 i97-118o
PF3D7_0903300.1-p1              7  0 o502-521i573-590o610-629i761-779o816-838i1008-1029o2687-2710i
PF3D7_0904300.1-p1             10  0 o229-250i257-276o282-300i320-342o503-523i556-574o594-615i717-742o748-770i975-992o
PF3D7_0905500.1-p1              3  0 i20-37o43-63i161-183o
PF3D7_0906200.1-p1              1  0 o6-27i
PF3D7_0906800.1-p1              1  0 o512-529i
PF3D7_0906890.1-p1              0  0 i
PF3D7_0907000.1-p1              0  0 i
PF3D7_0907100.1-p1              2  0 o511-530i542-561o
PF3D7_0907500.1-p1              0  0 i
PF3D7_0908200.1-p1              2  0 o742-761i1227-1246o
PF3D7_0908300.1-p1              7  0 o6-27i48-70o90-120i132-154o160-182i203-227o247-265i
PF3D7_0908300.2-p1              6  0 o6-27i48-70o90-120i132-154o160-182i203-223o
PF3D7_0908400.1-p1              1  0 o67-89i
PF3D7_0908500.1-p1              3  0 o1083-1101i1122-1141o1608-1634i
PF3D7_0908900.1-p1              0  0 i
PF3D7_0909000.1-p1              1  0 o811-831i
PF3D7_0909600.1-p1              1  0 i7-25o
PF3D7_0910200.1-p1              0  0 i
PF3D7_0910300.1-p1              1  Y n8-20c28/29o369-395i
PF3D7_0911400.1-p1              3  0 o633-654i666-688o994-1015i
PF3D7_0911500.1-p1              0  0 i
PF3D7_0911500.2-p1              0  0 i
PF3D7_0911600.1-p1              1  0 o6-29i
PF3D7_0911800.1-p1              1  0 o244-262i
PF3D7_0912000.1-p1              6  0 i303-326o332-353i365-385o397-422i1202-1224o1427-1445i
PF3D7_0912600.1-p1              1  0 i514-531o
PF3D7_0912700.1-p1              0  0 i
PF3D7_0913000.1-p1              0  0 i
PF3D7_0913150.1-p1              1  0 i7-25o
PF3D7_0913300.1-p1              0  0 i
PF3D7_0913600.1-p1              3  0 o662-682i725-741o747-765i
PF3D7_0913700.1-p1              0  Y n6-17c22/23o
PF3D7_0913800.1-p1              0  0 i
PF3D7_0914100.1-p1              0  0 i
PF3D7_0914500.1-p1              0  0 i
PF3D7_0915500.1-p1              0  0 i
PF3D7_0915600.1-p1              0  0 i
PF3D7_0915900.1-p1              0  0 i
PF3D7_0916300.1-p1              4  0 i12-33o104-126i146-167o179-201i
PF3D7_0916400.1-p1              6  0 o326-347i828-843o849-870i979-997o1712-1732i1744-1760o
PF3D7_0916800.1-p1              1  0 o24-44i
PF3D7_0917200.1-p1              5  0 o29-54i75-96o108-124i131-149o268-293i
PF3D7_0917300.1-p1              4  0 i34-57o80-107i128-153o285-307i
PF3D7_0917400.1-p1              0  0 i
PF3D7_0917500.1-p1              0  0 i
PF3D7_0917800.1-p1              0  0 i
PF3D7_0918400.1-p1              3  Y n2-12c17/18o1009-1027i1229-1252o1682-1707i
PF3D7_0918700.1-p1              0  0 i
PF3D7_0920300.1-p1              0  Y n3-14c18/19o
PF3D7_0920400.1-p1              9  0 o510-526i607-627o1188-1208i1220-1236o1532-1550i1684-1700o1706-1727i1748-1764o1798-1820i
PF3D7_0920600.1-p1              2  0 o6-24i547-574o
PF3D7_0921100.1-p1              0  0 i
PF3D7_0921500.1-p1              1  0 i69-91o
PF3D7_0921700.1-p1              1  0 i7-25o
PF3D7_0921900.1-p1              0  0 i
PF3D7_0922300.1-p1              0  Y n5-15c20/21o
PF3D7_0922800.1-p1              5  0 o476-500i521-540o685-710i731-751o4165-4183i
PF3D7_0923400.1-p1              0  0 i
PF3D7_0924100.1-p1              0  0 i
PF3D7_0924400.1-p1              0  0 i
PF3D7_0924600.1-p1              0  0 i
PF3D7_0925000.1-p1              0  0 i
PF3D7_0925100.1-p1              4  0 i7-28o40-57i64-81o93-116i
PF3D7_0926200.1-p1              1  0 o6-31i
PF3D7_0926800.1-p1              0  0 i
PF3D7_0927100.1-p1              0  0 i
PF3D7_0927400.1-p1              1  0 o447-468i
PF3D7_0928100.1-p1              0  0 i
PF3D7_0928150.1-p1              0  0 i
PF3D7_0928200.1-p1              3  0 o63-82i338-359o434-453i
PF3D7_0928300.1-p1              0  0 i
PF3D7_0928400.1-p1              5  0 o46-65i86-109o121-137i144-162o168-190i
PF3D7_0928500.1-p1              0  0 i
PF3D7_0928600.1-p1              1  0 o75-93i
PF3D7_0928700.1-p1              5  0 o506-524i531-553o1061-1080i1190-1208o1228-1245i
PF3D7_0929100.1-p1              0  0 i
PF3D7_0929300.1-p1              2  0 o297-316i336-356o
PF3D7_0929700.1-p1              0  0 i
PF3D7_0929800.1-p1              1  0 o28-50i
PF3D7_0929900.1-p1              1  Y n6-15c20/21o140-160i
PF3D7_0930700.1-p1              0  0 i
PF3D7_0931300.1-p1              0  0 i
PF3D7_0931500.1-p1              2  0 o12-32i173-198o
PF3D7_0931600.1-p1              0  0 i
PF3D7_0932000.1-p1              1  0 o52-75i
PF3D7_0932700.1-p1              3  0 o505-524i669-691o745-766i
PF3D7_0932900.1-p1              0  0 i
PF3D7_0933100.1-p1              2  0 i90-117o750-772i
PF3D7_0933300.1-p1              2  0 i5-25o957-980i
PF3D7_0933400.1-p1              2  0 i77-94o100-120i
PF3D7_0933700.1-p1              0  0 i
PF3D7_0934200.1-p1              0  0 i
PF3D7_0934600.1-p1              0  0 i
PF3D7_0934900.1-p1              0  0 i
PF3D7_1002300.1-p1              1  0 o412-429i
PF3D7_1002500.1-p1              0  0 i
PF3D7_1002600.1-p1              1  0 i12-29o
PF3D7_1002700.1-p1              0  0 i
PF3D7_1002900.1-p1              1  0 i103-126o
PF3D7_1003400.1-p1              1  0 o2024-2042i
PF3D7_1004100.1-p1              0  0 i
PF3D7_1004700.1-p1              1  0 i26-51o
PF3D7_1004900.1-p1              0  0 i
PF3D7_1005200.1-p1              0  0 i
PF3D7_1005300.1-p1              1  0 i12-32o
PF3D7_1005400.1-p1              0  0 i
PF3D7_1005900.1-p1              0  Y n8-17c22/23o
PF3D7_1006300.1-p1              0  Y n7-15c20/21o
PF3D7_1006500.1-p1              0  0 i
PF3D7_1006700.1-p1              0  0 i
PF3D7_1007400.1-p1              0  0 i
PF3D7_1007500.1-p1              0  0 i
PF3D7_1007600.1-p1              0  0 i
PF3D7_1007800.1-p1              1  0 i88-106o
PF3D7_1010900.1-p1              0  0 i
PF3D7_1011100.1-p1              0  0 i
PF3D7_1011500.1-p1              4  0 i12-35o41-62i69-94o106-126i
PF3D7_1012100.1-p1              0  0 i
